GROUPS,FILE NAMES,ATTRIBUTE NAMES,% DISTRIBUTION,expected_dist,upper,lower,real_dist,difference
9-HATS,JRS HAT 2 PIRATE 1 BROWN 1 JRS.png,PIRATE 1 BROWN 1 JRS,4,193,198,187,194.0,0.005154639175257714
9-HATS,JRS HAT 3 PIRATE 1 BROWN 2.png,PIRATE 1 BROWN 2,3,145,149,140,145.0,0.0
9-HATS,JRS HAT 4 PIRATE 1 BLACK.png,PIRATE 1 BLACK,3,145,149,140,145.0,0.0
9-HATS,JRS HAT 5 PIRATE 1 BLACK JRS.png,PIRATE 1 BLACK JRS,5,242,249,234,242.0,0.0
9-HATS,JRS HAT 6 PIRATE 2 BLACK.png,PIRATE 2 BLACK,3,145,149,140,145.0,0.0
9-HATS,JRS HAT 7 PIRATE 2 BROWN 1.png,PIRATE 2 BROWN 1,3,145,149,140,145.0,0.0
9-HATS,JRS HAT 8 PIRATE 2 BROWN 2.png,PIRATE 2 BROWN 2,3,145,149,140,144.0,-0.00694444444444442
9-HATS,JRS HAT 9 PIRATE 3 BLACK.png,PIRATE 3 BLACK,6,290,298,281,290.0,0.0
9-HATS,JRS HAT 10 PIRATE 3 DIRTY JRS.png,PIRATE 3 DIRTY JRS,6,290,298,281,290.0,0.0
9-HATS,JRS HAT 11 PIRATE 3 BROWN.png,PIRATE 3 BROWN,6,290,298,281,290.0,0.0
9-HATS,JRS HAT 12 PIRATE 3 BROWN JRS COIN.png,PIRATE 3 BROWN JRS COIN,5,242,249,234,242.0,0.0
9-HATS,JRS HAT 13 PIRATE 3 2-TONES.png,PIRATE 3 2-TONES,4,193,198,187,194.0,0.005154639175257714
9-HATS,JRS HAT 14 PIRATE 3 WANTED.png,PIRATE 3 WANTED,1,48,49,46,48.0,0.0
9-HATS,JRS HAT 15 PRIVATEER FABRIC NAVY GOLD JRS.png,PRIVATEER FABRIC NAVY GOLD JRS,2,96,98,93,97.0,0.010309278350515427
9-HATS,JRS HAT 16 PRIVATEER FABRIC NAVY GOLD JRS HAIR.png,PRIVATEER FABRIC NAVY GOLD JRS HAIR,1,48,49,46,48.0,0.0
9-HATS,JRS HAT 17 PRIVATEER FABRIC BLACK JRS.png,PRIVATEER FABRIC BLACK JRS,2,96,98,93,97.0,0.010309278350515427
9-HATS,JRS HAT 18 PRIVATEER FABRIC BLACK JRS HAIR.png,PRIVATEER FABRIC BLACK JRS HAIR,1,48,49,46,48.0,0.0
9-HATS,JRS HAT 19 PRIVATEER LEATHER BLACK HAIR.png,PRIVATEER LEATHER BLACK HAIR,1,48,49,46,48.0,0.0
9-HATS,JRS HAT 20 PRIVATEER LEATHER BLACK.png,PRIVATEER LEATHER BLACK,3,145,149,140,145.0,0.0
9-HATS,JRS HAT 21 PRIVATEER LEATHER BROWN.png,PRIVATEER LEATHER BROWN,2.6,125,128,121,126.0,0.007936507936507908
9-HATS,JRS HAT 22 SAMURAI BLACK.png,SAMURAI BLACK,0.3,14,14,13,15.0,0.06666666666666665
9-HATS,JRS HAT 23 SAMURAI BLACK GOLD.png,SAMURAI BLACK GOLD,0.3,14,14,13,15.0,0.06666666666666665
9-HATS,JRS HAT 24 SAMURAI BLACK RED.png,SAMURAI BLACK RED,0.1,4,4,3,5.0,0.19999999999999996
9-HATS,JRS HAT 25 VIKING RUSTED.png,VIKING RUSTED,0.2,9,9,8,10.0,0.09999999999999998
9-HATS,JRS HAT 26 VIKING RUSTED BLACK.png,VIKING RUSTED BLACK,0.2,9,9,8,10.0,0.09999999999999998
9-HATS,JRS HAT 27 VIKING RUSTED BLACK RED.png,VIKING RUSTED BLACK RED,0.2,9,9,8,10.0,0.09999999999999998
9-HATS,JRS HAT 28 VIKING RUSTED BLACK BLUE.png,VIKING RUSTED BLACK BLUE,0.2,9,9,8,10.0,0.09999999999999998
9-HATS,JRS HAT 29 VIKING GOLD.png,VIKING GOLD,0.1,4,4,3,5.0,0.19999999999999996
9-HATS,JRS HAT 30 TROOPER RUSTED GREEN.png,TROOPER RUSTED GREEN,0.2,9,9,8,10.0,0.09999999999999998
9-HATS,JRS HAT 31 TROOPER RUSTED BLACK.png,TROOPER RUSTED BLACK,0.2,9,9,8,10.0,0.09999999999999998
